student_id,school,grade,sessions_attended,fall_score,spring_score
RB-0100,Lincoln Park,3,29,446,474
RB-0101,Riverside,4,30,451,472
RB-0102,Riverside,2,27,358,371
RB-0103,Maple Street,2,41,381,428
RB-0104,Riverside,3,44,403,433
RB-0105,Cedar Hill,4,68,428,479
RB-0106,Riverside,4,40,427,460
RB-0107,Cedar Hill,4,50,467,491
RB-0108,Maple Street,3,58,450,484
RB-0109,Cedar Hill,2,40,382,414
RB-0110,Riverside,3,52,442,480
RB-0111,Maple Street,3,72,428,483
RB-0112,Lincoln Park,2,56,349,393
RB-0113,Maple Street,4,58,507,542
RB-0114,Maple Street,2,40,370,417
RB-0115,Lincoln Park,3,39,383,408
RB-0116,Lincoln Park,4,42,464,483
RB-0117,Cedar Hill,4,70,456,532
RB-0118,Lincoln Park,2,24,333,352
RB-0119,Maple Street,3,54,407,450
RB-0120,Riverside,2,49,399,437
RB-0121,Riverside,2,54,404,443
RB-0122,Lincoln Park,2,58,382,419
RB-0123,Cedar Hill,3,72,396,452
RB-0124,Lincoln Park,3,36,445,480
RB-0125,Riverside,4,53,444,481
RB-0126,Lincoln Park,2,51,342,375
RB-0127,Cedar Hill,3,53,378,421
RB-0128,Riverside,4,45,493,535
RB-0129,Riverside,3,56,433,464
RB-0130,Cedar Hill,2,56,370,419
RB-0131,Cedar Hill,2,50,346,402
RB-0132,Cedar Hill,4,72,442,491
RB-0133,Lincoln Park,4,41,447,472
RB-0134,Cedar Hill,4,72,393,444
RB-0135,Maple Street,3,67,367,416
RB-0136,Riverside,3,48,416,445
RB-0137,Riverside,3,37,388,416
RB-0138,Riverside,2,30,345,355
RB-0139,Maple Street,2,47,363,391
RB-0140,Cedar Hill,2,52,395,447
RB-0141,Riverside,3,38,422,444
RB-0142,Maple Street,2,32,360,378
RB-0143,Lincoln Park,2,64,338,381
RB-0144,Maple Street,4,48,470,531
RB-0145,Lincoln Park,4,41,439,470
RB-0146,Lincoln Park,4,34,449,473
RB-0147,Cedar Hill,4,38,473,502
