week_start,iso_week,district,age_group,confirmed_cases,hospitalizations
2025-10-06,2025-W41,Cedar Falls,50-64,1,0
2025-10-06,2025-W41,Cedar Falls,65+,1,1
2025-10-06,2025-W41,Southport,0-4,1,0
2025-10-06,2025-W41,Southport,5-17,2,0
2025-10-06,2025-W41,Southport,18-49,5,0
2025-10-06,2025-W41,Southport,50-64,1,0
2025-10-06,2025-W41,Southport,65+,3,0
2025-10-13,2025-W42,Northgate,0-4,0,0
2025-10-13,2025-W42,Northgate,5-17,0,0
2025-10-13,2025-W42,Northgate,18-49,0,0
2025-10-13,2025-W42,Northgate,50-64,2,0
2025-10-13,2025-W42,Northgate,65+,0,0
2025-10-13,2025-W42,Riverside East,0-4,0,0
2025-10-13,2025-W42,Riverside East,5-17,3,0
2025-10-13,2025-W42,Riverside East,18-49,8,1
2025-10-13,2025-W42,Riverside East,50-64,3,0
2025-10-13,2025-W42,Riverside East,65+,0,0
2025-10-13,2025-W42,Old Harbor,0-4,0,0
2025-10-13,2025-W42,Old Harbor,5-17,3,0
2025-10-13,2025-W42,Old Harbor,18-49,2,0
2025-10-13,2025-W42,Old Harbor,50-64,1,0
2025-10-13,2025-W42,Old Harbor,65+,3,0
2025-10-13,2025-W42,Millbrook,0-4,0,0
2025-10-13,2025-W42,Millbrook,5-17,3,0
2025-10-13,2025-W42,Millbrook,18-49,4,0
2025-10-13,2025-W42,Millbrook,50-64,1,1
2025-10-13,2025-W42,Millbrook,65+,0,0
2025-10-13,2025-W42,Cedar Falls,0-4,0,0
2025-10-13,2025-W42,Cedar Falls,5-17,3,0
2025-10-13,2025-W42,Cedar Falls,18-49,1,0
2025-10-13,2025-W42,Cedar Falls,50-64,1,0
2025-10-13,2025-W42,Cedar Falls,65+,1,0
2025-10-13,2025-W42,Southport,0-4,0,0
2025-10-13,2025-W42,Southport,5-17,4,0
2025-10-13,2025-W42,Southport,18-49,4,0
2025-10-13,2025-W42,Southport,50-64,1,0
2025-10-13,2025-W42,Southport,65+,2,0
2025-10-20,2025-W43,Northgate,0-4,2,0
2025-10-20,2025-W43,Northgate,5-17,4,0
2025-10-20,2025-W43,Northgate,18-49,4,0
2025-10-20,2025-W43,Northgate,50-64,2,0
2025-10-20,2025-W43,Northgate,65+,2,0
2025-10-20,2025-W43,Riverside East,0-4,1,0
2025-10-20,2025-W43,Riverside East,5-17,3,0
2025-10-20,2025-W43,Riverside East,18-49,4,0
2025-10-20,2025-W43,Riverside East,50-64,3,0
2025-10-20,2025-W43,Riverside East,65+,1,0
2025-10-20,2025-W43,Old Harbor,0-4,0,0
2025-10-20,2025-W43,Old Harbor,5-17,0,0
2025-10-20,2025-W43,Old Harbor,18-49,3,0
2025-10-20,2025-W43,Old Harbor,50-64,1,0
2025-10-20,2025-W43,Old Harbor,65+,3,1
2025-10-20,2025-W43,Millbrook,0-4,0,0
2025-10-20,2025-W43,Millbrook,5-17,3,0
2025-10-20,2025-W43,Millbrook,18-49,3,0
2025-10-20,2025-W43,Millbrook,50-64,0,0
2025-10-20,2025-W43,Millbrook,65+,1,1
2025-10-20,2025-W43,Cedar Falls,0-4,0,0
2025-10-20,2025-W43,Cedar Falls,5-17,3,0
2025-10-20,2025-W43,Cedar Falls,18-49,1,0
2025-10-20,2025-W43,Cedar Falls,50-64,2,1
2025-10-20,2025-W43,Cedar Falls,65+,0,0
2025-10-20,2025-W43,Southport,0-4,1,0
2025-10-20,2025-W43,Southport,5-17,5,1
2025-10-20,2025-W43,Southport,18-49,7,0
2025-10-20,2025-W43,Southport,50-64,1,0
2025-10-20,2025-W43,Southport,65+,2,0
2025-10-27,2025-W44,Northgate,0-4,1,0
2025-10-27,2025-W44,Northgate,5-17,5,0
2025-10-27,2025-W44,Northgate,18-49,3,0
2025-10-27,2025-W44,Northgate,50-64,1,0
2025-10-27,2025-W44,Northgate,65+,0,0
2025-10-27,2025-W44,Riverside East,0-4,1,0
2025-10-27,2025-W44,Riverside East,5-17,3,0
2025-10-27,2025-W44,Riverside East,18-49,3,0
2025-10-27,2025-W44,Riverside East,50-64,4,0
2025-10-27,2025-W44,Riverside East,65+,2,0
2025-10-27,2025-W44,Old Harbor,0-4,0,0
2025-10-27,2025-W44,Old Harbor,5-17,3,0
2025-10-27,2025-W44,Old Harbor,18-49,4,0
2025-10-27,2025-W44,Old Harbor,50-64,1,0
2025-10-27,2025-W44,Old Harbor,65+,2,0
2025-10-27,2025-W44,Millbrook,0-4,0,0
2025-10-27,2025-W44,Millbrook,5-17,5,0
2025-10-27,2025-W44,Millbrook,18-49,6,0
2025-10-27,2025-W44,Millbrook,50-64,2,0
2025-10-27,2025-W44,Millbrook,65+,2,1
2025-10-27,2025-W44,Cedar Falls,0-4,0,0
2025-10-27,2025-W44,Cedar Falls,5-17,4,0
2025-10-27,2025-W44,Cedar Falls,18-49,1,0
2025-10-27,2025-W44,Cedar Falls,50-64,1,0
2025-10-27,2025-W44,Cedar Falls,65+,1,0
2025-10-27,2025-W44,Southport,0-4,1,0
2025-10-27,2025-W44,Southport,5-17,5,0
2025-10-27,2025-W44,Southport,18-49,13,0
2025-10-27,2025-W44,Southport,50-64,3,0
2025-10-27,2025-W44,Southport,65+,4,1
2025-11-03,2025-W45,Northgate,0-4,1,0
2025-11-03,2025-W45,Northgate,5-17,8,0
2025-11-03,2025-W45,Northgate,18-49,3,0
2025-11-03,2025-W45,Northgate,50-64,5,0
2025-11-03,2025-W45,Northgate,65+,0,0
2025-11-03,2025-W45,Riverside East,0-4,4,0
2025-11-03,2025-W45,Riverside East,5-17,3,0
2025-11-03,2025-W45,Riverside East,18-49,4,0
2025-11-03,2025-W45,Riverside East,50-64,2,0
2025-11-03,2025-W45,Riverside East,65+,1,0
2025-11-03,2025-W45,Old Harbor,0-4,1,0
2025-11-03,2025-W45,Old Harbor,5-17,2,0
2025-11-03,2025-W45,Old Harbor,18-49,1,0
2025-11-03,2025-W45,Old Harbor,50-64,1,0
2025-11-03,2025-W45,Old Harbor,65+,2,0
2025-11-03,2025-W45,Millbrook,0-4,1,0
2025-11-03,2025-W45,Millbrook,5-17,3,0
2025-11-03,2025-W45,Millbrook,18-49,3,0
2025-11-03,2025-W45,Millbrook,50-64,2,1
2025-11-03,2025-W45,Millbrook,65+,4,1
2025-11-03,2025-W45,Cedar Falls,0-4,0,0
2025-11-03,2025-W45,Cedar Falls,5-17,1,0
2025-11-03,2025-W45,Cedar Falls,18-49,3,0
2025-11-03,2025-W45,Cedar Falls,50-64,2,0
2025-11-03,2025-W45,Cedar Falls,65+,2,0
2025-11-03,2025-W45,Southport,0-4,1,0
2025-11-03,2025-W45,Southport,5-17,22,0
2025-11-03,2025-W45,Southport,18-49,4,0
2025-11-03,2025-W45,Southport,50-64,2,0
2025-11-03,2025-W45,Southport,65+,4,1
2025-11-10,2025-W46,Northgate,0-4,2,0
2025-11-10,2025-W46,Northgate,5-17,7,0
2025-11-10,2025-W46,Northgate,18-49,7,0
2025-11-10,2025-W46,Northgate,50-64,4,0
2025-11-10,2025-W46,Northgate,65+,4,0
2025-11-10,2025-W46,Riverside East,0-4,2,0
2025-11-10,2025-W46,Riverside East,5-17,7,0
2025-11-10,2025-W46,Riverside East,18-49,13,0
2025-11-10,2025-W46,Riverside East,50-64,3,0
2025-11-10,2025-W46,Riverside East,65+,3,0
2025-11-10,2025-W46,Old Harbor,0-4,0,0
2025-11-10,2025-W46,Old Harbor,5-17,2,0
2025-11-10,2025-W46,Old Harbor,18-49,2,0
2025-11-10,2025-W46,Old Harbor,50-64,3,0
2025-11-10,2025-W46,Old Harbor,65+,3,0
2025-11-10,2025-W46,Millbrook,0-4,4,0
2025-11-10,2025-W46,Millbrook,5-17,6,0
2025-11-10,2025-W46,Millbrook,18-49,6,0
2025-11-10,2025-W46,Millbrook,50-64,1,0
2025-11-10,2025-W46,Millbrook,65+,2,1
2025-11-10,2025-W46,Cedar Falls,0-4,0,0
2025-11-10,2025-W46,Cedar Falls,5-17,1,0
2025-11-10,2025-W46,Cedar Falls,18-49,0,0
2025-11-10,2025-W46,Cedar Falls,50-64,2,0
2025-11-10,2025-W46,Cedar Falls,65+,0,0
2025-11-10,2025-W46,Southport,0-4,6,0
2025-11-10,2025-W46,Southport,5-17,20,0
2025-11-10,2025-W46,Southport,18-49,22,0
2025-11-10,2025-W46,Southport,50-64,10,0
2025-11-10,2025-W46,Southport,65+,7,1
2025-11-17,2025-W47,Northgate,0-4,2,0
2025-11-17,2025-W47,Northgate,5-17,21,0
2025-11-17,2025-W47,Northgate,18-49,10,0
2025-11-17,2025-W47,Northgate,50-64,7,0
2025-11-17,2025-W47,Northgate,65+,1,0
2025-11-17,2025-W47,Riverside East,0-4,1,0
2025-11-17,2025-W47,Riverside East,5-17,8,0
2025-11-17,2025-W47,Riverside East,18-49,14,0
2025-11-17,2025-W47,Riverside East,50-64,5,0
2025-11-17,2025-W47,Riverside East,65+,7,0
2025-11-17,2025-W47,Old Harbor,0-4,1,0
2025-11-17,2025-W47,Old Harbor,5-17,3,0
2025-11-17,2025-W47,Old Harbor,18-49,0,0
2025-11-17,2025-W47,Old Harbor,50-64,2,0
2025-11-17,2025-W47,Old Harbor,65+,5,1
2025-11-17,2025-W47,Millbrook,0-4,1,0
2025-11-17,2025-W47,Millbrook,5-17,11,0
2025-11-17,2025-W47,Millbrook,18-49,11,0
2025-11-17,2025-W47,Millbrook,50-64,0,0
2025-11-17,2025-W47,Millbrook,65+,2,1
2025-11-17,2025-W47,Cedar Falls,0-4,0,0
2025-11-17,2025-W47,Cedar Falls,5-17,1,0
2025-11-17,2025-W47,Cedar Falls,18-49,1,0
2025-11-17,2025-W47,Cedar Falls,50-64,0,0
2025-11-17,2025-W47,Cedar Falls,65+,3,1
2025-11-17,2025-W47,Southport,0-4,11,1
2025-11-17,2025-W47,Southport,5-17,29,0
2025-11-17,2025-W47,Southport,18-49,36,0
2025-11-17,2025-W47,Southport,50-64,16,1
2025-11-17,2025-W47,Southport,65+,12,1
2025-11-24,2025-W48,Northgate,0-4,3,0
2025-11-24,2025-W48,Northgate,5-17,18,1
2025-11-24,2025-W48,Northgate,18-49,15,0
2025-11-24,2025-W48,Northgate,50-64,5,0
2025-11-24,2025-W48,Northgate,65+,2,1
2025-11-24,2025-W48,Riverside East,0-4,5,0
2025-11-24,2025-W48,Riverside East,5-17,22,1
2025-11-24,2025-W48,Riverside East,18-49,30,1
2025-11-24,2025-W48,Riverside East,50-64,6,0
2025-11-24,2025-W48,Riverside East,65+,4,0
2025-11-24,2025-W48,Old Harbor,0-4,2,0
2025-11-24,2025-W48,Old Harbor,5-17,6,0
2025-11-24,2025-W48,Old Harbor,18-49,11,1
2025-11-24,2025-W48,Old Harbor,50-64,3,0
2025-11-24,2025-W48,Old Harbor,65+,6,0
2025-11-24,2025-W48,Millbrook,0-4,4,0
2025-11-24,2025-W48,Millbrook,5-17,15,0
2025-11-24,2025-W48,Millbrook,18-49,14,0
2025-11-24,2025-W48,Millbrook,50-64,3,0
2025-11-24,2025-W48,Millbrook,65+,4,0
2025-11-24,2025-W48,Cedar Falls,0-4,1,0
2025-11-24,2025-W48,Cedar Falls,5-17,5,0
2025-11-24,2025-W48,Cedar Falls,18-49,3,0
2025-11-24,2025-W48,Cedar Falls,50-64,3,0
2025-11-24,2025-W48,Cedar Falls,65+,3,1
2025-11-24,2025-W48,Southport,0-4,14,1
2025-11-24,2025-W48,Southport,5-17,62,1
2025-11-24,2025-W48,Southport,18-49,46,1
2025-11-24,2025-W48,Southport,50-64,18,0
2025-11-24,2025-W48,Southport,65+,11,1
2025-12-01,2025-W49,Northgate,0-4,6,0
2025-12-01,2025-W49,Northgate,5-17,20,0
2025-12-01,2025-W49,Northgate,18-49,36,0
2025-12-01,2025-W49,Northgate,50-64,7,0
2025-12-01,2025-W49,Northgate,65+,8,1
2025-12-01,2025-W49,Riverside East,0-4,14,0
2025-12-01,2025-W49,Riverside East,5-17,35,0
2025-12-01,2025-W49,Riverside East,18-49,41,2
2025-12-01,2025-W49,Riverside East,50-64,4,0
2025-12-01,2025-W49,Riverside East,65+,13,2
2025-12-01,2025-W49,Old Harbor,0-4,2,0
2025-12-01,2025-W49,Old Harbor,5-17,5,0
2025-12-01,2025-W49,Old Harbor,18-49,9,0
2025-12-01,2025-W49,Old Harbor,50-64,2,0
2025-12-01,2025-W49,Old Harbor,65+,7,0
2025-12-01,2025-W49,Millbrook,0-4,8,1
2025-12-01,2025-W49,Millbrook,5-17,17,0
2025-12-01,2025-W49,Millbrook,18-49,28,0
2025-12-01,2025-W49,Millbrook,50-64,7,0
2025-12-01,2025-W49,Millbrook,65+,8,3
2025-12-01,2025-W49,Cedar Falls,0-4,1,0
2025-12-01,2025-W49,Cedar Falls,5-17,5,0
2025-12-01,2025-W49,Cedar Falls,18-49,9,0
2025-12-01,2025-W49,Cedar Falls,50-64,4,0
2025-12-01,2025-W49,Cedar Falls,65+,6,0
2025-12-01,2025-W49,Southport,0-4,28,3
2025-12-01,2025-W49,Southport,5-17,78,0
2025-12-01,2025-W49,Southport,18-49,37,0
2025-12-01,2025-W49,Southport,50-64,17,1
2025-12-01,2025-W49,Southport,65+,16,3
2025-12-08,2025-W50,Northgate,0-4,5,0
2025-12-08,2025-W50,Northgate,5-17,34,1
2025-12-08,2025-W50,Northgate,18-49,23,1
2025-12-08,2025-W50,Northgate,50-64,18,1
2025-12-08,2025-W50,Northgate,65+,15,1
2025-12-08,2025-W50,Riverside East,0-4,13,1
2025-12-08,2025-W50,Riverside East,5-17,42,0
2025-12-08,2025-W50,Riverside East,18-49,48,1
2025-12-08,2025-W50,Riverside East,50-64,22,2
2025-12-08,2025-W50,Riverside East,65+,14,3
2025-12-08,2025-W50,Old Harbor,0-4,4,0
2025-12-08,2025-W50,Old Harbor,5-17,7,0
2025-12-08,2025-W50,Old Harbor,18-49,14,0
2025-12-08,2025-W50,Old Harbor,50-64,13,0
2025-12-08,2025-W50,Old Harbor,65+,9,1
2025-12-08,2025-W50,Millbrook,0-4,7,0
2025-12-08,2025-W50,Millbrook,5-17,34,0
2025-12-08,2025-W50,Millbrook,18-49,36,1
2025-12-08,2025-W50,Millbrook,50-64,15,1
2025-12-08,2025-W50,Millbrook,65+,5,0
2025-12-08,2025-W50,Cedar Falls,0-4,0,0
2025-12-08,2025-W50,Cedar Falls,5-17,10,1
2025-12-08,2025-W50,Cedar Falls,18-49,10,0
2025-12-08,2025-W50,Cedar Falls,50-64,1,0
2025-12-08,2025-W50,Cedar Falls,65+,5,1
2025-12-08,2025-W50,Southport,0-4,25,1
2025-12-08,2025-W50,Southport,5-17,58,0
2025-12-08,2025-W50,Southport,18-49,68,3
2025-12-08,2025-W50,Southport,50-64,17,1
2025-12-08,2025-W50,Southport,65+,12,5
2025-12-15,2025-W51,Northgate,0-4,11,1
2025-12-15,2025-W51,Northgate,5-17,53,0
2025-12-15,2025-W51,Northgate,18-49,61,2
2025-12-15,2025-W51,Northgate,50-64,16,2
2025-12-15,2025-W51,Northgate,65+,25,3
2025-12-15,2025-W51,Riverside East,0-4,18,1
2025-12-15,2025-W51,Riverside East,5-17,56,0
2025-12-15,2025-W51,Riverside East,18-49,46,0
2025-12-15,2025-W51,Riverside East,50-64,28,1
2025-12-15,2025-W51,Riverside East,65+,13,4
2025-12-15,2025-W51,Old Harbor,0-4,4,1
2025-12-15,2025-W51,Old Harbor,5-17,17,0
2025-12-15,2025-W51,Old Harbor,18-49,23,1
2025-12-15,2025-W51,Old Harbor,50-64,10,2
2025-12-15,2025-W51,Old Harbor,65+,18,2
2025-12-15,2025-W51,Millbrook,0-4,14,1
2025-12-15,2025-W51,Millbrook,5-17,52,2
2025-12-15,2025-W51,Millbrook,18-49,42,1
2025-12-15,2025-W51,Millbrook,50-64,14,0
2025-12-15,2025-W51,Millbrook,65+,23,3
2025-12-15,2025-W51,Cedar Falls,0-4,2,0
2025-12-15,2025-W51,Cedar Falls,5-17,15,0
2025-12-15,2025-W51,Cedar Falls,18-49,16,0
2025-12-15,2025-W51,Cedar Falls,50-64,9,0
2025-12-15,2025-W51,Cedar Falls,65+,9,1
2025-12-15,2025-W51,Southport,0-4,33,3
2025-12-15,2025-W51,Southport,5-17,111,2
2025-12-15,2025-W51,Southport,18-49,100,5
2025-12-15,2025-W51,Southport,50-64,33,4
2025-12-15,2025-W51,Southport,65+,16,2
2025-12-22,2025-W52,Northgate,0-4,21,0
2025-12-22,2025-W52,Northgate,5-17,65,1
2025-12-22,2025-W52,Northgate,18-49,56,1
2025-12-22,2025-W52,Northgate,50-64,33,1
2025-12-22,2025-W52,Northgate,65+,27,4
2025-12-22,2025-W52,Riverside East,0-4,28,2
2025-12-22,2025-W52,Riverside East,5-17,57,0
2025-12-22,2025-W52,Riverside East,18-49,84,2
2025-12-22,2025-W52,Riverside East,50-64,25,2
2025-12-22,2025-W52,Riverside East,65+,29,4
2025-12-22,2025-W52,Old Harbor,0-4,6,0
2025-12-22,2025-W52,Old Harbor,5-17,24,0
2025-12-22,2025-W52,Old Harbor,18-49,20,0
2025-12-22,2025-W52,Old Harbor,50-64,22,3
2025-12-22,2025-W52,Old Harbor,65+,35,7
2025-12-22,2025-W52,Millbrook,0-4,6,0
2025-12-22,2025-W52,Millbrook,5-17,54,0
2025-12-22,2025-W52,Millbrook,18-49,44,0
2025-12-22,2025-W52,Millbrook,50-64,21,0
2025-12-22,2025-W52,Millbrook,65+,24,3
2025-12-22,2025-W52,Cedar Falls,0-4,4,0
2025-12-22,2025-W52,Cedar Falls,5-17,19,0
2025-12-22,2025-W52,Cedar Falls,18-49,13,0
2025-12-22,2025-W52,Cedar Falls,50-64,10,0
2025-12-22,2025-W52,Cedar Falls,65+,13,2
2025-12-22,2025-W52,Southport,0-4,43,3
2025-12-22,2025-W52,Southport,5-17,153,2
2025-12-22,2025-W52,Southport,18-49,113,4
2025-12-22,2025-W52,Southport,50-64,37,4
2025-12-22,2025-W52,Southport,65+,22,5
2025-12-29,2026-W01,Northgate,0-4,18,1
2025-12-29,2026-W01,Northgate,5-17,61,0
2025-12-29,2026-W01,Northgate,18-49,79,1
2025-12-29,2026-W01,Northgate,50-64,29,3
2025-12-29,2026-W01,Northgate,65+,36,3
2025-12-29,2026-W01,Riverside East,0-4,17,1
2025-12-29,2026-W01,Riverside East,5-17,76,1
2025-12-29,2026-W01,Riverside East,18-49,95,2
2025-12-29,2026-W01,Riverside East,50-64,28,1
2025-12-29,2026-W01,Riverside East,65+,26,9
2025-12-29,2026-W01,Old Harbor,0-4,13,0
2025-12-29,2026-W01,Old Harbor,5-17,26,0
2025-12-29,2026-W01,Old Harbor,18-49,48,1
2025-12-29,2026-W01,Old Harbor,50-64,24,2
2025-12-29,2026-W01,Old Harbor,65+,29,3
2025-12-29,2026-W01,Millbrook,0-4,26,1
2025-12-29,2026-W01,Millbrook,5-17,55,0
2025-12-29,2026-W01,Millbrook,18-49,76,1
2025-12-29,2026-W01,Millbrook,50-64,33,1
2025-12-29,2026-W01,Millbrook,65+,21,3
2025-12-29,2026-W01,Cedar Falls,0-4,6,0
2025-12-29,2026-W01,Cedar Falls,5-17,23,1
2025-12-29,2026-W01,Cedar Falls,18-49,31,2
2025-12-29,2026-W01,Cedar Falls,50-64,20,3
2025-12-29,2026-W01,Cedar Falls,65+,10,0
2025-12-29,2026-W01,Southport,0-4,42,1
2025-12-29,2026-W01,Southport,5-17,105,1
2025-12-29,2026-W01,Southport,18-49,114,3
2025-12-29,2026-W01,Southport,50-64,48,4
2025-12-29,2026-W01,Southport,65+,26,4
2026-01-05,2026-W02,Northgate,0-4,27,2
2026-01-05,2026-W02,Northgate,5-17,106,2
2026-01-05,2026-W02,Northgate,18-49,94,3
2026-01-05,2026-W02,Northgate,50-64,41,5
2026-01-05,2026-W02,Northgate,65+,43,7
2026-01-05,2026-W02,Riverside East,0-4,34,5
2026-01-05,2026-W02,Riverside East,5-17,93,1
2026-01-05,2026-W02,Riverside East,18-49,79,4
2026-01-05,2026-W02,Riverside East,50-64,26,0
2026-01-05,2026-W02,Riverside East,65+,21,2
2026-01-05,2026-W02,Old Harbor,0-4,8,0
2026-01-05,2026-W02,Old Harbor,5-17,47,0
2026-01-05,2026-W02,Old Harbor,18-49,44,0
2026-01-05,2026-W02,Old Harbor,50-64,43,2
2026-01-05,2026-W02,Old Harbor,65+,35,4
2026-01-05,2026-W02,Millbrook,0-4,19,0
2026-01-05,2026-W02,Millbrook,5-17,73,0
2026-01-05,2026-W02,Millbrook,18-49,78,0
2026-01-05,2026-W02,Millbrook,50-64,38,1
2026-01-05,2026-W02,Millbrook,65+,36,7
2026-01-05,2026-W02,Cedar Falls,0-4,4,0
2026-01-05,2026-W02,Cedar Falls,5-17,36,0
2026-01-05,2026-W02,Cedar Falls,18-49,27,0
2026-01-05,2026-W02,Cedar Falls,50-64,21,0
2026-01-05,2026-W02,Cedar Falls,65+,21,6
2026-01-05,2026-W02,Southport,0-4,33,0
2026-01-05,2026-W02,Southport,5-17,118,3
2026-01-05,2026-W02,Southport,18-49,121,1
2026-01-05,2026-W02,Southport,50-64,37,3
2026-01-05,2026-W02,Southport,65+,26,6
2026-01-12,2026-W03,Northgate,0-4,28,2
2026-01-12,2026-W03,Northgate,5-17,114,1
2026-01-12,2026-W03,Northgate,18-49,79,1
2026-01-12,2026-W03,Northgate,50-64,55,1
2026-01-12,2026-W03,Northgate,65+,36,5
2026-01-12,2026-W03,Riverside East,0-4,28,1
2026-01-12,2026-W03,Riverside East,5-17,91,0
2026-01-12,2026-W03,Riverside East,18-49,76,2
2026-01-12,2026-W03,Riverside East,50-64,32,0
2026-01-12,2026-W03,Riverside East,65+,30,7
2026-01-12,2026-W03,Old Harbor,0-4,13,0
2026-01-12,2026-W03,Old Harbor,5-17,41,2
2026-01-12,2026-W03,Old Harbor,18-49,48,2
2026-01-12,2026-W03,Old Harbor,50-64,31,1
2026-01-12,2026-W03,Old Harbor,65+,64,9
2026-01-12,2026-W03,Millbrook,0-4,23,1
2026-01-12,2026-W03,Millbrook,5-17,78,0
2026-01-12,2026-W03,Millbrook,18-49,77,0
2026-01-12,2026-W03,Millbrook,50-64,34,1
2026-01-12,2026-W03,Millbrook,65+,33,6
2026-01-12,2026-W03,Cedar Falls,0-4,11,2
2026-01-12,2026-W03,Cedar Falls,5-17,44,0
2026-01-12,2026-W03,Cedar Falls,18-49,40,1
2026-01-12,2026-W03,Cedar Falls,50-64,22,1
2026-01-12,2026-W03,Cedar Falls,65+,29,1
2026-01-12,2026-W03,Southport,0-4,26,0
2026-01-12,2026-W03,Southport,5-17,98,2
2026-01-12,2026-W03,Southport,18-49,87,5
2026-01-12,2026-W03,Southport,50-64,38,2
2026-01-12,2026-W03,Southport,65+,17,5
2026-01-19,2026-W04,Northgate,0-4,26,0
2026-01-19,2026-W04,Northgate,5-17,74,2
2026-01-19,2026-W04,Northgate,18-49,114,1
2026-01-19,2026-W04,Northgate,50-64,33,2
2026-01-19,2026-W04,Northgate,65+,36,6
2026-01-19,2026-W04,Riverside East,0-4,23,2
2026-01-19,2026-W04,Riverside East,5-17,68,1
2026-01-19,2026-W04,Riverside East,18-49,80,2
2026-01-19,2026-W04,Riverside East,50-64,27,1
2026-01-19,2026-W04,Riverside East,65+,21,3
2026-01-19,2026-W04,Old Harbor,0-4,3,0
2026-01-19,2026-W04,Old Harbor,5-17,33,0
2026-01-19,2026-W04,Old Harbor,18-49,42,2
2026-01-19,2026-W04,Old Harbor,50-64,36,1
2026-01-19,2026-W04,Old Harbor,65+,42,6
2026-01-19,2026-W04,Millbrook,0-4,15,0
2026-01-19,2026-W04,Millbrook,5-17,63,0
2026-01-19,2026-W04,Millbrook,18-49,85,2
2026-01-19,2026-W04,Millbrook,50-64,35,1
2026-01-19,2026-W04,Millbrook,65+,30,6
2026-01-19,2026-W04,Cedar Falls,0-4,18,1
2026-01-19,2026-W04,Cedar Falls,5-17,58,1
2026-01-19,2026-W04,Cedar Falls,18-49,50,1
2026-01-19,2026-W04,Cedar Falls,50-64,31,0
2026-01-19,2026-W04,Cedar Falls,65+,21,5
2026-01-19,2026-W04,Southport,0-4,29,3
2026-01-19,2026-W04,Southport,5-17,101,0
2026-01-19,2026-W04,Southport,18-49,87,4
2026-01-19,2026-W04,Southport,50-64,16,2
2026-01-19,2026-W04,Southport,65+,12,1
2026-01-26,2026-W05,Northgate,0-4,18,2
2026-01-26,2026-W05,Northgate,5-17,81,0
2026-01-26,2026-W05,Northgate,18-49,95,2
2026-01-26,2026-W05,Northgate,50-64,36,3
2026-01-26,2026-W05,Northgate,65+,35,6
2026-01-26,2026-W05,Riverside East,0-4,18,0
2026-01-26,2026-W05,Riverside East,5-17,39,0
2026-01-26,2026-W05,Riverside East,18-49,69,3
2026-01-26,2026-W05,Riverside East,50-64,20,2
2026-01-26,2026-W05,Riverside East,65+,22,2
