date,line,shift,planned_minutes,downtime_minutes,total_units,good_units
2026-02-19,L1,B,450,34,42270,41883
2026-02-19,L2,A,450,29,31425,30731
2026-02-19,L2,B,450,57,29937,29509
2026-02-19,L3,A,450,74,52093,51761
2026-02-19,L3,B,450,21,59753,59384
2026-02-19,L4,A,450,32,19815,19131
2026-02-19,L4,B,450,83,17149,16598
2026-02-20,L1,A,450,71,39493,39059
2026-02-20,L1,B,450,28,43069,42452
2026-02-20,L2,A,450,44,31684,31268
2026-02-20,L2,B,450,117,24754,24246
2026-02-20,L3,A,450,27,56685,56094
2026-02-20,L3,B,450,55,52401,52108
2026-02-20,L4,A,450,66,19255,18906
2026-02-20,L4,B,450,38,19420,18871
2026-02-23,L1,A,450,0,49391,48718
2026-02-23,L1,B,450,104,36993,36659
2026-02-23,L2,A,450,74,29034,28585
2026-02-23,L2,B,450,45,31270,30518
2026-02-23,L3,A,450,55,55333,54846
2026-02-23,L3,B,450,28,57833,57200
2026-02-23,L4,A,450,45,20322,19834
2026-02-23,L4,B,450,118,15883,15318
2026-02-24,L1,A,450,8,46644,45997
2026-02-24,L1,B,450,33,43665,43266
2026-02-24,L2,A,450,82,28596,28247
2026-02-24,L2,B,450,9,32563,31902
2026-02-24,L3,A,450,66,52523,52138
2026-02-24,L3,B,450,48,53738,53188
2026-02-24,L4,A,450,50,18897,18476
2026-02-24,L4,B,450,64,18021,17388
2026-02-25,L1,A,450,110,36398,35868
2026-02-25,L1,B,450,30,44088,43687
2026-02-25,L2,A,450,98,27675,27166
2026-02-25,L2,B,450,98,26161,25715
2026-02-25,L3,A,450,65,55044,54378
2026-02-25,L3,B,450,16,56908,56508
2026-02-25,L4,A,450,31,20870,20124
2026-02-25,L4,B,450,80,17679,17173
2026-02-26,L1,A,450,38,43772,43239
2026-02-26,L1,B,450,65,40986,40589
2026-02-26,L2,A,450,52,30947,30456
2026-02-26,L2,B,450,141,23473,22890
2026-02-26,L3,A,450,76,50621,50338
2026-02-26,L3,B,450,66,53133,52525
2026-02-26,L4,A,450,71,18464,17932
2026-02-26,L4,B,450,69,18663,18115
2026-02-27,L1,A,450,0,48180,47549
2026-02-27,L1,B,450,22,46167,45491
2026-02-27,L2,A,450,30,32728,32320
2026-02-27,L2,B,450,72,28936,28437
2026-02-27,L3,A,450,63,52082,51604
2026-02-27,L3,B,450,37,55979,55371
2026-02-27,L4,A,450,92,17812,17208
2026-02-27,L4,B,450,84,17455,16896
