subscriber_id,start_month,channel,promo_code,monthly_price_usd,last_paid_month
LX00092,2025-10,Paid social,,12.99,2025-10
LX00093,2025-10,Organic,,12.99,2026-09
LX00094,2025-10,Paid social,,12.99,2026-01
LX00095,2025-10,Organic,,12.99,2025-10
LX00096,2025-10,Organic,,12.99,2026-09
LX00097,2025-10,Paid social,,12.99,2025-10
LX00098,2025-10,Organic,,12.99,2025-10
LX00099,2025-10,Paid social,,12.99,2026-05
LX00100,2025-10,Organic,,12.99,2026-04
LX00101,2025-10,Paid social,,12.99,2025-10
LX00102,2025-10,Organic,,12.99,2026-07
LX00103,2025-10,Organic,,12.99,2025-11
LX00104,2025-10,Paid social,,12.99,2026-02
LX00105,2025-10,Paid social,,12.99,2025-12
LX00106,2025-10,Paid social,,12.99,2026-03
LX00107,2025-10,Paid social,,12.99,2026-09
LX00108,2025-10,Paid social,,12.99,2026-02
LX00109,2025-10,Paid social,,12.99,2025-10
LX00110,2025-10,Paid social,,12.99,2025-10
LX00111,2025-10,Organic,,12.99,2025-10
LX00112,2025-10,Organic,,12.99,2025-12
LX00113,2025-10,Organic,,12.99,2025-12
LX00114,2025-10,Paid social,,12.99,2025-12
LX00115,2025-10,Organic,,12.99,2025-11
LX00116,2025-10,Paid social,,12.99,2026-09
LX00117,2025-10,Paid social,,12.99,2026-01
LX00118,2025-10,Paid social,,12.99,2026-03
LX00119,2025-10,Organic,,12.99,2026-09
LX00120,2025-10,Organic,,12.99,2025-12
LX00121,2025-10,Organic,,12.99,2026-09
LX00122,2025-10,Referral,,12.99,2026-08
LX00123,2025-10,Referral,,12.99,2026-09
LX00124,2025-10,Organic,,12.99,2025-11
LX00125,2025-10,Referral,,12.99,2026-09
LX00126,2025-10,Organic,,12.99,2025-10
LX00127,2025-10,Organic,,12.99,2025-10
LX00128,2025-10,Referral,,12.99,2025-11
LX00129,2025-10,Paid social,,12.99,2025-10
LX00130,2025-10,Paid social,,12.99,2025-11
LX00131,2025-10,Paid social,,12.99,2025-10
LX00132,2025-10,Organic,,12.99,2025-10
LX00133,2025-10,Organic,,12.99,2026-01
LX00134,2025-10,Paid social,,12.99,2025-10
LX00135,2025-10,Paid social,,12.99,2025-11
LX00136,2025-10,Referral,,12.99,2025-10
LX00137,2025-10,Referral,,12.99,2026-09
LX00138,2025-10,Paid social,,12.99,2026-03
LX00139,2025-10,Organic,,12.99,2026-02
LX00140,2025-10,Paid social,,12.99,2026-09
LX00141,2025-10,Organic,,12.99,2025-11
LX00142,2025-10,Referral,,12.99,2026-01
LX00143,2025-10,Paid social,,12.99,2026-07
LX00144,2025-10,Paid social,,12.99,2026-02
LX00145,2025-10,Referral,,12.99,2026-02
LX00146,2025-10,Paid social,,12.99,2025-10
LX00147,2025-10,Paid social,,12.99,2026-09
LX00148,2025-10,Organic,,12.99,2026-08
LX00149,2025-10,Organic,,12.99,2025-10
LX00150,2025-10,Organic,,12.99,2025-10
LX00151,2025-10,Referral,,12.99,2026-03
LX00152,2025-10,Paid social,,12.99,2025-10
LX00153,2025-10,Paid social,,12.99,2026-01
LX00154,2025-10,Paid social,,12.99,2026-09
LX00155,2025-10,Paid social,,12.99,2026-04
LX00156,2025-10,Referral,,12.99,2025-11
LX00157,2025-10,Paid social,,12.99,2026-06
LX00158,2025-10,Organic,,12.99,2025-10
LX00159,2025-10,Organic,,12.99,2026-03
LX00160,2025-10,Organic,,12.99,2025-10
LX00161,2025-10,Referral,,12.99,2025-12
LX00162,2025-10,Organic,,12.99,2026-08
LX00163,2025-10,Referral,,12.99,2026-09
LX00164,2025-10,Organic,,12.99,2026-02
LX00165,2025-10,Organic,,12.99,2025-10
LX00166,2025-10,Paid social,,12.99,2025-10
LX00167,2025-10,Organic,,12.99,2026-01
LX00168,2025-10,Referral,,12.99,2026-08
LX00169,2025-10,Organic,,12.99,2026-01
LX00170,2025-10,Organic,,12.99,2026-09
LX00171,2025-10,Referral,,12.99,2026-03
LX00172,2025-10,Referral,,12.99,2025-10
LX00173,2025-10,Paid social,,12.99,2025-10
LX00174,2025-10,Organic,,12.99,2026-09
LX00175,2025-10,Organic,,12.99,2026-09
LX00176,2025-10,Organic,,12.99,2026-09
LX00177,2025-10,Referral,,12.99,2025-10
LX00178,2025-10,Organic,,12.99,2026-03
LX00179,2025-10,Referral,,12.99,2026-01
LX00180,2025-10,Organic,,12.99,2026-01
LX00181,2025-10,Paid social,,12.99,2025-12
LX00182,2025-10,Organic,,12.99,2026-08
LX00183,2025-10,Referral,,12.99,2026-04
LX00184,2025-10,Organic,,12.99,2025-10
LX00185,2025-10,Organic,,12.99,2026-03
LX00186,2025-10,Organic,,12.99,2026-03
LX00187,2025-10,Paid social,,12.99,2025-10
LX00188,2025-10,Paid social,,12.99,2025-11
LX00189,2025-10,Organic,,12.99,2025-12
LX00190,2025-10,Organic,,12.99,2026-03
LX00191,2025-10,Paid social,,12.99,2026-09
LX00192,2025-10,Paid social,,12.99,2025-10
LX00193,2025-10,Paid social,,12.99,2025-12
LX00194,2025-10,Organic,,12.99,2026-09
LX00195,2025-10,Organic,,12.99,2026-09
LX00196,2025-10,Paid social,,12.99,2025-10
LX00197,2025-10,Paid social,,12.99,2026-08
LX00198,2025-10,Organic,,12.99,2025-10
LX00199,2025-10,Paid social,,12.99,2026-01
LX00200,2025-10,Organic,,12.99,2026-03
LX00201,2025-10,Referral,,12.99,2025-12
LX00202,2025-10,Paid social,,12.99,2025-12
LX00203,2025-10,Organic,,12.99,2026-01
LX00204,2025-10,Referral,,12.99,2026-01
LX00205,2025-10,Paid social,,12.99,2025-11
LX00206,2025-10,Referral,,12.99,2025-10
LX00207,2025-10,Organic,,12.99,2025-10
LX00208,2025-10,Referral,,12.99,2026-09
LX00209,2025-10,Paid social,,12.99,2026-06
LX00210,2025-10,Paid social,,12.99,2026-09
LX00211,2025-10,Organic,,12.99,2025-10
LX00212,2025-10,Organic,,12.99,2025-10
LX00213,2025-10,Referral,,12.99,2026-09
LX00214,2025-10,Organic,,12.99,2026-09
LX00215,2025-10,Paid social,,12.99,2026-06
LX00216,2025-10,Paid social,,12.99,2026-04
LX00217,2025-10,Paid social,,12.99,2026-08
LX00218,2025-10,Organic,,12.99,2025-12
LX00219,2025-10,Organic,,12.99,2025-10
LX00220,2025-10,Organic,,12.99,2026-01
LX00221,2025-10,Paid social,,12.99,2025-12
LX00222,2025-10,Organic,,12.99,2025-10
LX00223,2025-10,Referral,,12.99,2025-12
LX00224,2025-10,Organic,,12.99,2026-02
LX00225,2025-10,Organic,,12.99,2026-03
LX00226,2025-10,Paid social,,12.99,2025-12
LX00227,2025-10,Organic,,12.99,2026-08
LX00228,2025-10,Organic,,12.99,2025-10
LX00229,2025-10,Paid social,,12.99,2026-07
LX00230,2025-10,Referral,,12.99,2026-09
LX00231,2025-10,Organic,,12.99,2025-10
LX00232,2025-10,Organic,,12.99,2026-09
LX00233,2025-10,Paid social,,12.99,2025-10
LX00234,2025-10,Organic,,12.99,2025-11
LX00235,2025-10,Paid social,,12.99,2025-10
LX00236,2025-10,Referral,,12.99,2025-10
LX00237,2025-10,Referral,,12.99,2026-09
LX00238,2025-10,Paid social,,12.99,2026-03
LX00239,2025-10,Organic,,12.99,2025-12
LX00240,2025-10,Paid social,,12.99,2026-06
LX00241,2025-10,Paid social,,12.99,2025-10
LX00242,2025-10,Paid social,,12.99,2025-10
LX00243,2025-10,Organic,,12.99,2026-05
LX00244,2025-10,Referral,,12.99,2026-09
LX00245,2025-10,Referral,,12.99,2026-09
LX00246,2025-10,Referral,,12.99,2026-09
LX00247,2025-10,Organic,,12.99,2026-09
LX00248,2025-10,Referral,,12.99,2026-09
LX00249,2025-10,Organic,,12.99,2025-10
LX00250,2025-10,Paid social,,12.99,2025-10
LX00251,2025-10,Organic,,12.99,2025-10
LX00252,2025-10,Referral,,12.99,2026-09
LX00253,2025-10,Organic,,12.99,2025-11
LX00254,2025-10,Paid social,,12.99,2026-03
LX00255,2025-10,Paid social,,12.99,2025-10
LX00256,2025-10,Organic,,12.99,2025-10
LX00257,2025-10,Paid social,,12.99,2026-04
LX00258,2025-10,Paid social,,12.99,2026-09
LX00259,2025-10,Organic,,12.99,2026-06
LX00260,2025-10,Referral,,12.99,2026-06
LX00261,2025-10,Paid social,,12.99,2025-10
LX00262,2025-10,Referral,,12.99,2025-10
LX00263,2025-10,Organic,,12.99,2025-11
LX00264,2025-10,Referral,,12.99,2026-03
LX00265,2025-10,Organic,,12.99,2026-03
LX00266,2025-10,Referral,,12.99,2026-08
LX00267,2025-10,Paid social,,12.99,2026-09
LX00268,2025-10,Paid social,,12.99,2025-11
LX00269,2025-10,Paid social,,12.99,2025-10
LX00270,2025-10,Organic,,12.99,2025-11
LX00271,2025-10,Paid social,,12.99,2026-09
LX00272,2025-10,Organic,,12.99,2025-12
LX00273,2025-10,Organic,,12.99,2026-06
LX00274,2025-10,Organic,,12.99,2025-10
LX00275,2025-10,Paid social,,12.99,2025-12
LX00276,2025-10,Referral,,12.99,2026-09
LX00277,2025-10,Organic,,12.99,2025-10
LX00278,2025-10,Referral,,12.99,2025-11
LX00279,2025-10,Organic,,12.99,2025-10
LX00280,2025-10,Paid social,,12.99,2025-10
LX00281,2025-10,Referral,,12.99,2026-09
LX00282,2025-10,Organic,,12.99,2026-09
LX00283,2025-10,Organic,,12.99,2026-07
LX00284,2025-10,Organic,,12.99,2026-09
LX00285,2025-10,Organic,,12.99,2026-09
LX00286,2025-10,Paid social,,12.99,2026-07
LX00287,2025-10,Paid social,,12.99,2025-10
LX00288,2025-10,Paid social,,12.99,2026-09
LX00289,2025-10,Organic,,12.99,2026-01
LX00290,2025-10,Paid social,,12.99,2025-10
LX00291,2025-10,Referral,,12.99,2026-06
LX00292,2025-10,Paid social,,12.99,2025-10
LX00293,2025-10,Referral,,12.99,2025-11
LX00294,2025-10,Paid social,,12.99,2025-10
LX00295,2025-10,Organic,,12.99,2026-06
LX00296,2025-10,Paid social,,12.99,2025-11
LX00297,2025-10,Paid social,,12.99,2026-07
LX00298,2025-10,Paid social,,12.99,2026-01
LX00299,2025-10,Paid social,,12.99,2026-03
LX00300,2025-10,Paid social,,12.99,2026-09
LX00301,2025-10,Referral,,12.99,2026-09
LX00302,2025-10,Referral,,12.99,2025-12
LX00303,2025-10,Referral,,12.99,2026-09
LX00304,2025-10,Organic,,12.99,2026-07
LX00305,2025-10,Paid social,,12.99,2026-06
LX00306,2025-10,Paid social,,12.99,2025-10
LX00307,2025-10,Organic,,12.99,2025-10
LX00308,2025-10,Organic,,12.99,2026-06
LX00309,2025-10,Paid social,,12.99,2026-09
LX00310,2025-10,Organic,,12.99,2025-10
LX00311,2025-10,Paid social,,12.99,2026-09
LX00312,2025-10,Organic,,12.99,2025-11
LX00313,2025-10,Referral,,12.99,2026-09
LX00314,2025-10,Referral,,12.99,2026-09
LX00315,2025-10,Organic,,12.99,2025-10
LX00316,2025-10,Organic,,12.99,2025-12
LX00317,2025-10,Referral,,12.99,2026-09
LX00318,2025-10,Organic,,12.99,2025-10
LX00319,2025-10,Paid social,,12.99,2026-09
LX00320,2025-10,Paid social,,12.99,2025-10
LX00321,2025-10,Organic,,12.99,2025-12
LX00322,2025-10,Paid social,,12.99,2026-01
LX00323,2025-10,Organic,,12.99,2026-08
LX00324,2025-10,Organic,,12.99,2026-02
LX00325,2025-10,Organic,,12.99,2026-01
LX00326,2025-10,Referral,,12.99,2026-03
LX00327,2025-10,Organic,,12.99,2026-04
LX00328,2025-10,Organic,,12.99,2025-12
LX00329,2025-10,Paid social,,12.99,2026-04
LX00330,2025-10,Organic,,12.99,2026-09
LX00331,2025-10,Organic,,12.99,2026-09
LX00332,2025-10,Referral,,12.99,2026-01
LX00333,2025-10,Paid social,,12.99,2025-12
LX00334,2025-10,Referral,,12.99,2026-02
LX00335,2025-10,Paid social,,12.99,2026-01
LX00336,2025-10,Referral,,12.99,2025-10
LX00337,2025-10,Referral,,12.99,2026-04
LX00338,2025-10,Referral,,12.99,2026-03
LX00339,2025-10,Referral,,12.99,2026-09
LX00340,2025-10,Paid social,,12.99,2025-10
LX00341,2025-10,Referral,,12.99,2026-04
LX00342,2025-10,Organic,,12.99,2025-12
LX00343,2025-10,Organic,,12.99,2026-06
LX00344,2025-10,Organic,,12.99,2026-03
LX00345,2025-10,Organic,,12.99,2026-04
LX00346,2025-10,Organic,,12.99,2026-02
LX00347,2025-10,Organic,,12.99,2026-09
LX00348,2025-10,Organic,,12.99,2026-09
LX00349,2025-10,Referral,,12.99,2025-10
LX00350,2025-10,Organic,,12.99,2025-12
LX00351,2025-10,Organic,,12.99,2025-10
LX00352,2025-10,Paid social,,12.99,2025-10
LX00353,2025-10,Organic,,12.99,2025-10
LX00354,2025-10,Referral,,12.99,2025-12
LX00355,2025-10,Organic,,12.99,2026-09
LX00356,2025-10,Organic,,12.99,2026-01
LX00357,2025-10,Paid social,,12.99,2025-12
LX00358,2025-10,Organic,,12.99,2025-10
LX00359,2025-10,Referral,,12.99,2026-09
LX00360,2025-10,Organic,,12.99,2025-12
LX00361,2025-10,Referral,,12.99,2025-10
LX00362,2025-10,Paid social,,12.99,2025-11
LX00363,2025-10,Paid social,,12.99,2025-12
LX00364,2025-10,Paid social,,12.99,2025-11
LX00365,2025-10,Paid social,,12.99,2026-09
LX00366,2025-10,Referral,,12.99,2025-12
LX00367,2025-10,Paid social,,12.99,2026-02
LX00368,2025-10,Organic,,12.99,2025-10
LX00369,2025-10,Paid social,,12.99,2025-10
LX00370,2025-10,Organic,,12.99,2025-10
LX00371,2025-10,Organic,,12.99,2026-04
LX00372,2025-10,Paid social,,12.99,2025-10
LX00373,2025-10,Paid social,,12.99,2025-10
LX00374,2025-10,Paid social,,12.99,2025-12
LX00375,2025-10,Paid social,,12.99,2025-10
LX00376,2025-10,Organic,,12.99,2026-09
LX00377,2025-10,Paid social,,12.99,2025-10
LX00378,2025-10,Paid social,,12.99,2025-12
LX00379,2025-10,Paid social,,12.99,2026-09
LX00380,2025-10,Organic,,12.99,2026-09
LX00381,2025-10,Paid social,,12.99,2025-10
LX00382,2025-10,Paid social,,12.99,2025-10
LX00383,2025-10,Organic,,12.99,2026-09
LX00384,2025-10,Organic,,12.99,2025-10
LX00385,2025-10,Referral,,12.99,2026-03
LX00386,2025-10,Referral,,12.99,2025-10
LX00387,2025-10,Organic,,12.99,2026-09
LX00388,2025-10,Organic,,12.99,2026-04
LX00389,2025-10,Organic,,12.99,2026-02
LX00390,2025-10,Organic,,12.99,2026-09
LX00391,2025-10,Organic,,12.99,2026-06
LX00392,2025-10,Organic,,12.99,2026-04
LX00393,2025-10,Organic,,12.99,2026-01
LX00394,2025-10,Organic,,12.99,2025-10
LX00395,2025-10,Referral,,12.99,2025-12
LX00396,2025-10,Paid social,,12.99,2025-10
LX00397,2025-10,Organic,,12.99,2026-03
LX00398,2025-10,Paid social,,12.99,2025-10
LX00399,2025-10,Paid social,,12.99,2026-02
LX00400,2025-10,Paid social,,12.99,2025-11
LX00401,2025-10,Paid social,,12.99,2025-11
LX00402,2025-10,Organic,,12.99,2025-10
LX00403,2025-10,Organic,,12.99,2025-12
LX00404,2025-10,Referral,,12.99,2026-06
LX00405,2025-10,Paid social,,12.99,2025-10
LX00406,2025-10,Organic,,12.99,2025-10
LX00407,2025-10,Organic,,12.99,2025-10
LX00408,2025-10,Organic,,12.99,2026-09
LX00409,2025-10,Paid social,,12.99,2025-10
LX00410,2025-10,Referral,,12.99,2025-10
LX00411,2025-10,Paid social,,12.99,2025-12
LX00412,2025-10,Paid social,,12.99,2025-12
LX00413,2025-10,Organic,,12.99,2026-09
LX00414,2025-10,Organic,,12.99,2026-05
LX00415,2025-10,Referral,,12.99,2026-03
LX00416,2025-11,Organic,,12.99,2026-03
LX00417,2025-11,Organic,,12.99,2026-07
LX00418,2025-11,Organic,,12.99,2025-11
LX00419,2025-11,Organic,,12.99,2026-09
LX00420,2025-11,Paid social,,12.99,2026-01
LX00421,2025-11,Organic,,12.99,2025-11
LX00422,2025-11,Organic,,12.99,2025-12
LX00423,2025-11,Organic,,12.99,2026-04
LX00424,2025-11,Paid social,,12.99,2026-06
LX00425,2025-11,Paid social,,12.99,2025-11
LX00426,2025-11,Organic,,12.99,2025-11
LX00427,2025-11,Organic,,12.99,2026-09
LX00428,2025-11,Paid social,,12.99,2026-01
LX00429,2025-11,Referral,,12.99,2026-09
LX00430,2025-11,Paid social,,12.99,2025-11
LX00431,2025-11,Organic,,12.99,2026-09
LX00432,2025-11,Paid social,,12.99,2025-11
LX00433,2025-11,Organic,,12.99,2026-02
LX00434,2025-11,Organic,,12.99,2026-02
LX00435,2025-11,Paid social,,12.99,2026-03
LX00436,2025-11,Referral,,12.99,2026-09
LX00437,2025-11,Organic,,12.99,2026-01
LX00438,2025-11,Paid social,,12.99,2025-11
LX00439,2025-11,Organic,,12.99,2026-09
LX00440,2025-11,Paid social,,12.99,2026-09
LX00441,2025-11,Referral,,12.99,2026-09
LX00442,2025-11,Organic,,12.99,2026-04
LX00443,2025-11,Organic,,12.99,2026-09
LX00444,2025-11,Paid social,,12.99,2025-11
LX00445,2025-11,Organic,,12.99,2026-02
LX00446,2025-11,Referral,,12.99,2025-11
LX00447,2025-11,Organic,,12.99,2025-12
LX00448,2025-11,Paid social,,12.99,2026-01
LX00449,2025-11,Paid social,,12.99,2025-11
LX00450,2025-11,Organic,,12.99,2025-11
LX00451,2025-11,Organic,,12.99,2026-04
LX00452,2025-11,Organic,,12.99,2025-11
LX00453,2025-11,Paid social,,12.99,2026-02
LX00454,2025-11,Paid social,,12.99,2026-09
LX00455,2025-11,Organic,,12.99,2025-11
LX00456,2025-11,Organic,,12.99,2025-11
LX00457,2025-11,Paid social,,12.99,2026-09
LX00458,2025-11,Organic,,12.99,2026-02
LX00459,2025-11,Organic,,12.99,2026-04
LX00460,2025-11,Organic,,12.99,2026-06
LX00461,2025-11,Organic,,12.99,2025-12
LX00462,2025-11,Paid social,,12.99,2026-03
LX00463,2025-11,Paid social,,12.99,2025-11
LX00464,2025-11,Paid social,,12.99,2025-11
LX00465,2025-11,Organic,,12.99,2026-07
LX00466,2025-11,Organic,,12.99,2026-02
LX00467,2025-11,Organic,,12.99,2026-09
LX00468,2025-11,Organic,,12.99,2026-09
LX00469,2025-11,Organic,,12.99,2026-06
LX00470,2025-11,Organic,,12.99,2026-09
LX00471,2025-11,Organic,,12.99,2026-08
LX00472,2025-11,Paid social,,12.99,2026-01
LX00473,2025-11,Organic,,12.99,2026-03
LX00474,2025-11,Organic,,12.99,2026-04
LX00475,2025-11,Organic,,12.99,2026-03
LX00476,2025-11,Paid social,,12.99,2025-11
LX00477,2025-11,Organic,,12.99,2025-12
LX00478,2025-11,Referral,,12.99,2026-01
LX00479,2025-11,Referral,,12.99,2025-12
LX00480,2025-11,Organic,,12.99,2026-09
LX00481,2025-11,Organic,,12.99,2025-11
LX00482,2025-11,Referral,,12.99,2026-09
LX00483,2025-11,Organic,,12.99,2026-01
LX00484,2025-11,Paid social,,12.99,2026-04
LX00485,2025-11,Referral,,12.99,2026-08
LX00486,2025-11,Organic,,12.99,2026-07
LX00487,2025-11,Organic,,12.99,2026-09
LX00488,2025-11,Organic,,12.99,2026-09
LX00489,2025-11,Paid social,,12.99,2025-11
LX00490,2025-11,Referral,,12.99,2026-03
LX00491,2025-11,Organic,,12.99,2025-11
LX00492,2025-11,Paid social,,12.99,2026-09
LX00493,2025-11,Paid social,,12.99,2025-11
LX00494,2025-11,Paid social,,12.99,2026-04
LX00495,2025-11,Paid social,,12.99,2026-02
LX00496,2025-11,Organic,,12.99,2026-09
LX00497,2025-11,Organic,,12.99,2025-11
LX00498,2025-11,Organic,,12.99,2025-12
LX00499,2025-11,Paid social,,12.99,2026-01
LX00500,2025-11,Paid social,,12.99,2026-05
LX00501,2025-11,Organic,,12.99,2026-05
LX00502,2025-11,Paid social,,12.99,2026-04
LX00503,2025-11,Organic,,12.99,2026-01
LX00504,2025-11,Referral,,12.99,2026-08
LX00505,2025-11,Referral,,12.99,2026-09
LX00506,2025-11,Paid social,,12.99,2026-08
LX00507,2025-11,Paid social,,12.99,2026-05
LX00508,2025-11,Referral,,12.99,2026-09
LX00509,2025-11,Paid social,,12.99,2025-11
LX00510,2025-11,Organic,,12.99,2026-04
LX00511,2025-11,Organic,,12.99,2026-03
LX00512,2025-11,Organic,,12.99,2026-09
LX00513,2025-11,Paid social,,12.99,2026-09
LX00514,2025-11,Organic,,12.99,2026-04
LX00515,2025-11,Organic,,12.99,2025-11
LX00516,2025-11,Referral,,12.99,2026-08
LX00517,2025-11,Paid social,,12.99,2025-11
LX00518,2025-11,Referral,,12.99,2026-09
LX00519,2025-11,Paid social,,12.99,2026-06
LX00520,2025-11,Organic,,12.99,2026-09
LX00521,2025-11,Organic,,12.99,2025-11
LX00522,2025-11,Organic,,12.99,2026-09
LX00523,2025-11,Organic,,12.99,2026-04
LX00524,2025-11,Referral,,12.99,2026-02
LX00525,2025-11,Organic,,12.99,2025-11
LX00526,2025-11,Paid social,,12.99,2025-11
LX00527,2025-11,Organic,,12.99,2026-02
LX00528,2025-11,Referral,,12.99,2026-09
LX00529,2025-11,Organic,,12.99,2026-09
LX00530,2025-11,Organic,,12.99,2025-12
LX00531,2025-11,Referral,,12.99,2026-09
LX00532,2025-11,Organic,,12.99,2025-11
LX00533,2025-11,Organic,,12.99,2026-09
LX00534,2025-11,Paid social,,12.99,2025-11
LX00535,2025-11,Organic,,12.99,2025-11
LX00536,2025-11,Referral,,12.99,2025-12
LX00537,2025-11,Referral,,12.99,2025-12
LX00538,2025-11,Organic,,12.99,2025-11
LX00539,2025-11,Organic,,12.99,2026-04
LX00540,2025-11,Referral,,12.99,2026-04
LX00541,2025-11,Paid social,,12.99,2025-11
LX00542,2025-11,Organic,,12.99,2026-09
LX00543,2025-11,Organic,,12.99,2026-09
LX00544,2025-11,Organic,,12.99,2026-09
LX00545,2025-11,Paid social,,12.99,2026-03
LX00546,2025-11,Referral,,12.99,2026-09
LX00547,2025-11,Paid social,,12.99,2025-12
LX00548,2025-11,Organic,,12.99,2026-01
LX00549,2025-11,Organic,,12.99,2026-09
LX00550,2025-11,Referral,,12.99,2026-05
LX00551,2025-11,Paid social,,12.99,2026-03
LX00552,2025-11,Referral,,12.99,2026-09
LX00553,2025-11,Referral,,12.99,2025-11
LX00554,2025-11,Referral,,12.99,2025-11
LX00555,2025-11,Organic,,12.99,2026-04
LX00556,2025-11,Organic,,12.99,2026-08
LX00557,2025-11,Organic,,12.99,2025-12
LX00558,2025-11,Referral,,12.99,2026-09
LX00559,2025-11,Organic,,12.99,2025-11
LX00560,2025-11,Organic,,12.99,2025-12
LX00561,2025-11,Referral,,12.99,2025-11
LX00562,2025-11,Referral,,12.99,2025-11
LX00563,2025-11,Referral,,12.99,2026-09
LX00564,2025-11,Referral,,12.99,2026-09
LX00565,2025-11,Paid social,,12.99,2026-09
LX00566,2025-11,Organic,,12.99,2025-12
LX00567,2025-11,Paid social,,12.99,2025-12
LX00568,2025-11,Paid social,,12.99,2025-11
LX00569,2025-11,Paid social,,12.99,2026-05
LX00570,2025-11,Paid social,,12.99,2025-11
LX00571,2025-11,Paid social,,12.99,2025-11
LX00572,2025-11,Paid social,,12.99,2025-11
