date,variant,platform,user_type,checkout_sessions,orders,revenue_usd
2026-09-04,treatment,Android,New,104,23,2012.37
2026-09-04,treatment,Android,Returning,161,57,4301.84
2026-09-04,treatment,Web,New,75,12,890.65
2026-09-04,treatment,Web,Returning,114,32,2566.44
2026-09-05,control,iOS,New,141,34,2882.24
2026-09-05,control,iOS,Returning,215,77,6934.25
2026-09-05,control,Android,New,118,26,2554.95
2026-09-05,control,Android,Returning,201,61,5375.64
2026-09-05,control,Web,New,82,22,1761.28
2026-09-05,control,Web,Returning,138,36,2822.62
2026-09-05,treatment,iOS,New,131,34,2824.05
2026-09-05,treatment,iOS,Returning,218,85,7529.59
2026-09-05,treatment,Android,New,122,17,1447.34
2026-09-05,treatment,Android,Returning,196,60,4310.18
2026-09-05,treatment,Web,New,87,12,1114.84
2026-09-05,treatment,Web,Returning,135,35,3120.32
2026-09-06,control,iOS,New,148,33,2814.47
2026-09-06,control,iOS,Returning,250,76,6249.34
2026-09-06,control,Android,New,133,31,2677.91
2026-09-06,control,Android,Returning,217,68,6895.41
2026-09-06,control,Web,New,95,16,1350.28
2026-09-06,control,Web,Returning,156,41,3286.51
2026-09-06,treatment,iOS,New,151,35,2573.65
2026-09-06,treatment,iOS,Returning,235,89,7632.01
2026-09-06,treatment,Android,New,132,29,2373.22
2026-09-06,treatment,Android,Returning,210,63,4781.92
2026-09-06,treatment,Web,New,89,21,1596.65
2026-09-06,treatment,Web,Returning,154,45,3738.57
2026-09-07,control,iOS,New,116,30,2484.98
2026-09-07,control,iOS,Returning,191,66,5009.00
2026-09-07,control,Android,New,99,24,1546.06
2026-09-07,control,Android,Returning,159,63,5925.88
2026-09-07,control,Web,New,75,16,1443.17
2026-09-07,control,Web,Returning,120,44,4105.05
2026-09-07,treatment,iOS,New,116,28,2145.25
2026-09-07,treatment,iOS,Returning,195,73,6255.63
2026-09-07,treatment,Android,New,101,27,2178.24
2026-09-07,treatment,Android,Returning,167,51,4449.65
2026-09-07,treatment,Web,New,75,17,1249.89
2026-09-07,treatment,Web,Returning,119,39,3244.26
2026-09-08,control,iOS,New,119,28,2230.80
2026-09-08,control,iOS,Returning,184,58,5179.69
2026-09-08,control,Android,New,102,18,1398.17
2026-09-08,control,Android,Returning,169,67,5443.72
2026-09-08,control,Web,New,77,14,1285.42
2026-09-08,control,Web,Returning,120,28,2392.76
2026-09-08,treatment,iOS,New,123,36,2972.07
2026-09-08,treatment,iOS,Returning,201,77,6099.76
2026-09-08,treatment,Android,New,107,20,1804.52
2026-09-08,treatment,Android,Returning,166,58,5015.35
2026-09-08,treatment,Web,New,72,15,1270.68
2026-09-08,treatment,Web,Returning,115,45,3659.33
2026-09-09,control,iOS,New,125,27,2659.59
2026-09-09,control,iOS,Returning,202,74,6237.14
2026-09-09,control,Android,New,110,25,2669.29
2026-09-09,control,Android,Returning,184,54,5346.44
2026-09-09,control,Web,New,81,19,1499.86
2026-09-09,control,Web,Returning,134,40,3218.92
2026-09-09,treatment,iOS,New,130,30,2830.26
2026-09-09,treatment,iOS,Returning,205,72,6382.92
2026-09-09,treatment,Android,New,109,22,1994.34
2026-09-09,treatment,Android,Returning,175,61,5751.40
2026-09-09,treatment,Web,New,78,19,1487.50
2026-09-09,treatment,Web,Returning,131,38,3475.60
2026-09-10,control,iOS,New,126,25,2040.97
2026-09-10,control,iOS,Returning,191,74,7260.06
2026-09-10,control,Android,New,113,23,2143.90
2026-09-10,control,Android,Returning,174,45,3335.14
2026-09-10,control,Web,New,80,19,1964.03
2026-09-10,control,Web,Returning,126,34,2717.95
2026-09-10,treatment,iOS,New,119,26,2001.97
2026-09-10,treatment,iOS,Returning,208,72,6015.08
2026-09-10,treatment,Android,New,109,25,2001.72
2026-09-10,treatment,Android,Returning,176,60,5438.71
2026-09-10,treatment,Web,New,73,14,1118.88
2026-09-10,treatment,Web,Returning,130,46,3762.55
2026-09-11,control,iOS,New,127,42,3685.44
2026-09-11,control,iOS,Returning,210,78,6925.41
2026-09-11,control,Android,New,110,27,2516.81
2026-09-11,control,Android,Returning,171,56,4660.21
2026-09-11,control,Web,New,77,18,1774.95
2026-09-11,control,Web,Returning,123,44,3994.26
2026-09-11,treatment,iOS,New,127,35,3432.33
2026-09-11,treatment,iOS,Returning,212,91,7890.84
2026-09-11,treatment,Android,New,112,22,2037.36
2026-09-11,treatment,Android,Returning,184,57,4891.46
2026-09-11,treatment,Web,New,76,19,1573.24
2026-09-11,treatment,Web,Returning,126,22,1851.76
2026-09-12,control,iOS,New,131,30,2390.77
2026-09-12,control,iOS,Returning,222,76,6248.70
2026-09-12,control,Android,New,116,30,2333.99
2026-09-12,control,Android,Returning,196,56,4424.87
2026-09-12,control,Web,New,82,18,1573.34
2026-09-12,control,Web,Returning,142,38,3581.80
2026-09-12,treatment,iOS,New,134,40,3083.31
2026-09-12,treatment,iOS,Returning,217,82,7234.90
2026-09-12,treatment,Android,New,113,32,2965.44
2026-09-12,treatment,Android,Returning,202,78,6300.46
2026-09-12,treatment,Web,New,81,16,1522.29
2026-09-12,treatment,Web,Returning,140,34,3076.40
2026-09-13,control,iOS,New,146,32,2268.04
2026-09-13,control,iOS,Returning,226,81,6452.67
2026-09-13,control,Android,New,127,22,1847.78
2026-09-13,control,Android,Returning,201,65,5639.08
2026-09-13,control,Web,New,87,13,1125.89
2026-09-13,control,Web,Returning,152,40,3394.26
2026-09-13,treatment,iOS,New,139,28,2319.07
2026-09-13,treatment,iOS,Returning,239,98,8030.48
2026-09-13,treatment,Android,New,129,27,2134.47
2026-09-13,treatment,Android,Returning,209,69,5593.06
2026-09-13,treatment,Web,New,92,12,850.94
2026-09-13,treatment,Web,Returning,146,46,3942.81
2026-09-14,control,iOS,New,125,35,3473.26
2026-09-14,control,iOS,Returning,197,65,5291.07
2026-09-14,control,Android,New,108,24,2377.16
2026-09-14,control,Android,Returning,163,54,4841.03
2026-09-14,control,Web,New,75,12,995.83
2026-09-14,control,Web,Returning,125,37,3212.30
2026-09-14,treatment,iOS,New,114,27,2276.80
2026-09-14,treatment,iOS,Returning,186,80,6435.52
2026-09-14,treatment,Android,New,102,16,1328.10
2026-09-14,treatment,Android,Returning,173,63,5667.28
2026-09-14,treatment,Web,New,76,14,1317.42
2026-09-14,treatment,Web,Returning,123,32,2605.70
2026-09-15,control,iOS,New,127,28,2704.66
2026-09-15,control,iOS,Returning,202,79,6739.52
2026-09-15,control,Android,New,109,17,1258.08
2026-09-15,control,Android,Returning,187,65,5586.74
2026-09-15,control,Web,New,82,21,1539.71
2026-09-15,control,Web,Returning,129,43,3488.58
2026-09-15,treatment,iOS,New,123,30,2432.35
2026-09-15,treatment,iOS,Returning,212,88,7257.17
2026-09-15,treatment,Android,New,111,24,1952.78
2026-09-15,treatment,Android,Returning,182,67,5554.20
2026-09-15,treatment,Web,New,79,11,800.70
2026-09-15,treatment,Web,Returning,132,37,3002.64
2026-09-16,control,iOS,New,133,29,2218.80
2026-09-16,control,iOS,Returning,215,83,7531.17
2026-09-16,control,Android,New,114,27,2374.39
2026-09-16,control,Android,Returning,181,64,5654.19
2026-09-16,control,Web,New,79,16,1589.83
2026-09-16,control,Web,Returning,134,42,3763.29
2026-09-16,treatment,iOS,New,133,30,2452.87
2026-09-16,treatment,iOS,Returning,211,73,5904.87
2026-09-16,treatment,Android,New,115,33,3094.59
2026-09-16,treatment,Android,Returning,187,71,6030.99
2026-09-16,treatment,Web,New,82,16,1235.91
2026-09-16,treatment,Web,Returning,134,44,3841.78
2026-09-17,control,iOS,New,114,20,1569.41
2026-09-17,control,iOS,Returning,183,69,5837.43
2026-09-17,control,Android,New,99,22,2156.40
2026-09-17,control,Android,Returning,163,50,4112.09
2026-09-17,control,Web,New,75,13,1086.22
2026-09-17,control,Web,Returning,116,37,3695.26
2026-09-17,treatment,iOS,New,122,28,2486.98
2026-09-17,treatment,iOS,Returning,185,81,7701.38
2026-09-17,treatment,Android,New,106,26,1950.17
2026-09-17,treatment,Android,Returning,172,48,4460.67
2026-09-17,treatment,Web,New,75,17,1246.38
2026-09-17,treatment,Web,Returning,115,42,3346.68
2026-09-18,control,iOS,New,127,31,2521.11
2026-09-18,control,iOS,Returning,201,76,6743.92
2026-09-18,control,Android,New,115,22,1812.95
2026-09-18,control,Android,Returning,182,54,4794.67
2026-09-18,control,Web,New,81,21,1908.83
2026-09-18,control,Web,Returning,130,43,3416.78
2026-09-18,treatment,iOS,New,123,32,2746.23
2026-09-18,treatment,iOS,Returning,211,84,7366.82
2026-09-18,treatment,Android,New,113,23,1823.90
2026-09-18,treatment,Android,Returning,177,69,5678.46
2026-09-18,treatment,Web,New,76,16,1339.54
2026-09-18,treatment,Web,Returning,134,41,3860.24
2026-09-19,control,iOS,New,149,38,3126.03
2026-09-19,control,iOS,Returning,254,102,9319.75
2026-09-19,control,Android,New,133,33,2380.79
2026-09-19,control,Android,Returning,205,61,5477.94
2026-09-19,control,Web,New,96,19,1447.83
2026-09-19,control,Web,Returning,148,48,4070.22
2026-09-19,treatment,iOS,New,153,41,3675.32
2026-09-19,treatment,iOS,Returning,245,95,6943.19
2026-09-19,treatment,Android,New,126,23,2081.26
2026-09-19,treatment,Android,Returning,215,77,6249.04
2026-09-19,treatment,Web,New,91,12,1175.11
2026-09-19,treatment,Web,Returning,158,47,3827.03
2026-09-20,control,iOS,New,145,34,3133.03
2026-09-20,control,iOS,Returning,240,88,7455.05
2026-09-20,control,Android,New,125,21,1594.20
2026-09-20,control,Android,Returning,208,68,5673.62
2026-09-20,control,Web,New,93,16,1689.79
2026-09-20,control,Web,Returning,145,41,3313.18
2026-09-20,treatment,iOS,New,139,29,2319.53
2026-09-20,treatment,iOS,Returning,236,103,8040.26
2026-09-20,treatment,Android,New,122,19,1681.64
2026-09-20,treatment,Android,Returning,212,69,6160.90
2026-09-20,treatment,Web,New,85,20,1769.42
2026-09-20,treatment,Web,Returning,140,41,3661.44
2026-09-21,control,iOS,New,119,24,2068.31
2026-09-21,control,iOS,Returning,198,79,7619.94
2026-09-21,control,Android,New,98,16,1205.89
2026-09-21,control,Android,Returning,159,49,4450.96
2026-09-21,control,Web,New,76,18,1438.63
2026-09-21,control,Web,Returning,122,36,3586.40
2026-09-21,treatment,iOS,New,120,30,2439.18
2026-09-21,treatment,iOS,Returning,181,72,5992.29
2026-09-21,treatment,Android,New,107,18,1555.89
2026-09-21,treatment,Android,Returning,170,59,4960.72
2026-09-21,treatment,Web,New,72,20,1758.98
2026-09-21,treatment,Web,Returning,118,45,3330.68
2026-09-22,control,iOS,New,122,32,2605.39
2026-09-22,control,iOS,Returning,201,80,6979.24
2026-09-22,control,Android,New,108,21,1801.97
2026-09-22,control,Android,Returning,182,63,5523.74
2026-09-22,control,Web,New,76,12,1006.41
2026-09-22,control,Web,Returning,128,40,3414.15
2026-09-22,treatment,iOS,New,122,39,3299.56
2026-09-22,treatment,iOS,Returning,206,74,6595.38
2026-09-22,treatment,Android,New,112,19,1644.99
2026-09-22,treatment,Android,Returning,175,68,5398.44
2026-09-22,treatment,Web,New,80,10,491.17
2026-09-22,treatment,Web,Returning,126,39,3642.17
2026-09-23,control,iOS,New,121,29,2466.68
2026-09-23,control,iOS,Returning,190,62,5302.31
2026-09-23,control,Android,New,110,27,2343.52
2026-09-23,control,Android,Returning,168,55,4445.06
2026-09-23,control,Web,New,74,11,839.07
2026-09-23,control,Web,Returning,117,41,3075.66
2026-09-23,treatment,iOS,New,123,35,3098.60
2026-09-23,treatment,iOS,Returning,201,74,6267.51
2026-09-23,treatment,Android,New,104,26,2997.25
2026-09-23,treatment,Android,Returning,180,45,4041.79
2026-09-23,treatment,Web,New,72,12,1102.17
2026-09-23,treatment,Web,Returning,125,36,3005.22
2026-09-24,control,iOS,New,124,38,3723.86
2026-09-24,control,iOS,Returning,201,72,5918.53
2026-09-24,control,Android,New,99,20,1847.98
2026-09-24,control,Android,Returning,171,52,4898.17
2026-09-24,control,Web,New,73,12,1271.43
2026-09-24,control,Web,Returning,121,45,4085.35
2026-09-24,treatment,iOS,New,116,35,3005.05
2026-09-24,treatment,iOS,Returning,187,73,5957.15
2026-09-24,treatment,Android,New,100,21,1851.72
2026-09-24,treatment,Android,Returning,164,52,4617.08
2026-09-24,treatment,Web,New,71,13,1083.82
2026-09-24,treatment,Web,Returning,117,35,3473.11
2026-09-25,control,iOS,New,131,27,2175.69
2026-09-25,control,iOS,Returning,212,73,6004.42
2026-09-25,control,Android,New,116,28,2408.24
2026-09-25,control,Android,Returning,176,56,4510.80
2026-09-25,control,Web,New,81,11,862.06
2026-09-25,control,Web,Returning,130,40,2849.66
2026-09-25,treatment,iOS,New,134,43,3968.27
2026-09-25,treatment,iOS,Returning,206,74,5953.43
2026-09-25,treatment,Android,New,116,16,1040.19
2026-09-25,treatment,Android,Returning,188,65,5606.06
2026-09-25,treatment,Web,New,78,12,924.47
2026-09-25,treatment,Web,Returning,126,42,3772.64
2026-09-26,control,iOS,New,145,41,3472.28
2026-09-26,control,iOS,Returning,229,79,6821.76
2026-09-26,control,Android,New,125,25,2063.27
2026-09-26,control,Android,Returning,202,71,5968.53
2026-09-26,control,Web,New,85,20,1482.03
2026-09-26,control,Web,Returning,145,47,4165.99
2026-09-26,treatment,iOS,New,145,35,2942.96
2026-09-26,treatment,iOS,Returning,239,73,6518.42
2026-09-26,treatment,Android,New,129,28,2543.96
2026-09-26,treatment,Android,Returning,193,62,5403.60
2026-09-26,treatment,Web,New,92,13,993.12
2026-09-26,treatment,Web,Returning,149,41,3054.28
2026-09-27,control,iOS,New,147,30,2524.68
2026-09-27,control,iOS,Returning,238,77,6758.40
2026-09-27,control,Android,New,131,27,2125.73
2026-09-27,control,Android,Returning,199,62,5311.05
2026-09-27,control,Web,New,91,13,1282.00
2026-09-27,control,Web,Returning,150,51,4657.17
2026-09-27,treatment,iOS,New,140,39,3066.07
2026-09-27,treatment,iOS,Returning,248,94,7402.66
2026-09-27,treatment,Android,New,128,28,2599.81
2026-09-27,treatment,Android,Returning,205,71,5869.31
2026-09-27,treatment,Web,New,92,22,1931.52
2026-09-27,treatment,Web,Returning,150,51,3685.71
2026-09-28,control,iOS,New,118,29,2209.97
2026-09-28,control,iOS,Returning,180,68,5627.35
2026-09-28,control,Android,New,96,23,1756.57
2026-09-28,control,Android,Returning,164,54,3994.66
2026-09-28,control,Web,New,72,15,1355.95
2026-09-28,control,Web,Returning,120,28,2318.60
2026-09-28,treatment,iOS,New,121,31,2690.23
2026-09-28,treatment,iOS,Returning,187,66,6258.96
2026-09-28,treatment,Android,New,104,21,1783.01
2026-09-28,treatment,Android,Returning,160,48,4838.65
2026-09-28,treatment,Web,New,71,14,1073.42
2026-09-28,treatment,Web,Returning,114,36,3076.58
