date,steps
2025-06-01,15945
2025-06-02,10718
2025-06-03,10374
2025-06-04,8847
2025-06-05,11464
2025-06-06,7949
2025-06-07,15793
2025-06-08,9904
2025-06-09,8396
2025-06-10,8649
2025-06-11,16286
2025-06-12,15357
2025-06-13,8895
2025-06-14,16056
2025-06-15,12852
2025-06-16,12711
2025-06-17,12616
2025-06-18,10496
2025-06-19,9847
2025-06-20,7487
2025-06-21,15446
2025-06-22,14558
2025-06-23,12464
2025-06-24,11840
2025-06-25,11186
2025-06-26,9604
2025-06-27,11830
2025-06-28,13641
2025-06-29,14730
2025-06-30,16504
2025-07-01,10867
2025-07-02,12468
2025-07-03,9110
2025-07-04,14923
2025-07-05,10352
2025-07-06,16048
2025-07-07,9778
2025-07-08,13220
2025-07-09,12727
2025-07-10,12012
2025-07-11,11475
2025-07-12,11181
2025-07-13,16135
2025-07-14,8804
2025-07-15,10105
2025-07-16,14626
2025-07-17,11745
2025-07-18,7882
2025-07-19,24310
2025-07-20,12651
2025-07-21,8335
2025-07-22,11348
2025-07-23,9085
2025-07-24,12493
2025-07-25,8957
2025-07-26,11649
2025-07-27,13397
2025-07-28,12900
2025-07-29,8890
2025-07-30,11802
2025-07-31,10510
2025-08-01,4582
2025-08-02,
2025-08-03,10984
2025-08-04,10149
2025-08-05,8625
2025-08-06,14569
2025-08-07,11893
2025-08-08,9376
2025-08-09,16692
2025-08-10,13603
2025-08-11,10522
2025-08-12,10045
2025-08-13,11528
2025-08-14,14964
2025-08-15,12103
2025-08-16,11479
2025-08-17,12162
2025-08-18,8247
2025-08-19,9919
2025-08-20,6787
2025-08-21,9950
2025-08-22,9328
2025-08-23,11998
2025-08-24,13192
2025-08-25,8995
2025-08-26,11348
2025-08-27,10364
2025-08-28,8009
2025-08-29,12508
2025-08-30,13028
2025-08-31,14518
2025-09-01,10351
2025-09-02,10665
2025-09-03,9623
2025-09-04,9004
2025-09-05,5869
2025-09-06,18291
2025-09-07,14569
2025-09-08,7722
2025-09-09,10862
2025-09-10,10396
2025-09-11,9255
2025-09-12,13874
2025-09-13,14531
2025-09-14,13974
2025-09-15,9166
2025-09-16,12386
2025-09-17,10514
2025-09-18,14468
2025-09-19,9539
2025-09-20,11048
2025-09-21,8690
2025-09-22,8602
2025-09-23,7680
2025-09-24,9253
2025-09-25,9541
2025-09-26,9576
2025-09-27,10158
2025-09-28,11836
2025-09-29,7275
2025-09-30,8204
2025-10-01,10908
2025-10-02,11775
2025-10-03,10277
2025-10-04,12914
2025-10-05,8678
2025-10-06,9553
2025-10-07,8387
2025-10-08,8973
2025-10-09,8817
2025-10-10,6874
2025-10-11,14042
2025-10-12,16000
2025-10-13,5105
2025-10-14,10902
2025-10-15,10206
2025-10-16,8427
2025-10-17,7506
2025-10-18,14889
2025-10-19,8682
2025-10-20,9310
2025-10-21,9832
2025-10-22,4444
2025-10-23,6870
2025-10-24,7900
2025-10-25,8316
2025-10-26,12713
2025-10-27,12476
2025-10-28,11483
2025-10-29,6674
2025-10-30,6946
2025-10-31,7702
2025-11-01,11445
2025-11-02,10467
2025-11-03,9614
2025-11-04,9360
2025-11-05,9153
2025-11-06,4335
2025-11-07,4928
2025-11-08,10394
2025-11-09,7497
2025-11-10,7417
2025-11-11,4617
2025-11-12,9128
2025-11-13,7106
2025-11-14,5929
2025-11-15,9919
2025-11-16,7974
2025-11-17,6213
2025-11-18,3522
2025-11-19,5264
2025-11-20,
2025-11-21,
2025-11-22,11739
2025-11-23,7906
2025-11-24,2532
2025-11-25,8345
2025-11-26,5271
2025-11-27,5495
2025-11-28,8583
2025-11-29,13352
2025-11-30,5763
2025-12-01,6251
2025-12-02,4901
2025-12-03,7814
2025-12-04,8301
2025-12-05,9210
2025-12-06,17057
2025-12-07,6801
2025-12-08,3960
2025-12-09,6688
2025-12-10,7218
2025-12-11,4580
2025-12-12,5827
2025-12-13,8604
2025-12-14,9548
2025-12-15,9242
2025-12-16,8108
2025-12-17,5761
2025-12-18,5989
2025-12-19,4219
2025-12-20,9019
2025-12-21,9470
2025-12-22,8059
2025-12-23,6507
2025-12-24,8647
2025-12-25,1400
2025-12-26,5404
2025-12-27,10176
2025-12-28,3932
2025-12-29,3435
2025-12-30,9704
2025-12-31,9058
